path;schema;type;nullable;subschema;depth
/adresse;/ressource;object;;/adresse;1
/batiment;/ressource;object;;/batiment;1
/logements;/ressource;object[];;/logement;1
/enveloppe;/ressource;object;;/enveloppe;1
/chauffage;/ressource;object;;/chauffage;1
/ecs;/ressource;object;;/ecs;1
/refroidissement;/ressource;object;;/refroidissement;1
/ventilation;/ressource;object;;/ventilation;1
/production;/ressource;object;;/production;1
/adresse/ban_id;/adresse;string;nullable;;2
/adresse/nom;/adresse;string;;;2
/adresse/code_postal;/adresse;string;;;2
/adresse/code_insee;/adresse;string;;;2
/adresse/commune;/adresse;string;;;2
/batiment/rnb_id;/batiment;string;nullable;;2
/batiment/type;/batiment;enum;;;2
/batiment/annee_construction;/batiment;integer;;;2
/batiment/altitude;/batiment;number;;;2
/batiment/logements;/batiment;integer;;;2
/batiment/surface_habitable;/batiment;number;;;2
/batiment/hauteur_sous_plafond;/batiment;number;;;2
/batiment/materiaux_anciens;/batiment;boolean;;;2
/logement/id;/logement;string;;;2
/logement/description;/logement;string;;;2
/logement/surface_habitable;/logement;number;;;2
/logement/hauteur_sous_plafond;/logement;number;;;2
/logement/position;/logement;enum;;;2
/logement/typologie;/logement;enum;;;2
/enveloppe/exposition;/enveloppe;enum;;;2
/enveloppe/q4pa_conv;/enveloppe;number;nullable;;2
/enveloppe/presence_brasseurs_air;/enveloppe;boolean;;;2
/enveloppe/niveaux;/enveloppe;object[];;/enveloppe/niveau;2
/enveloppe/locaux_non_chauffes;/enveloppe;object[];;/enveloppe/local_non_chauffe;2
/enveloppe/murs;/enveloppe;object[];;/enveloppe/mur;2
/enveloppe/planchers_bas;/enveloppe;object[];;/enveloppe/plancher_bas;2
/enveloppe/planchers_hauts;/enveloppe;object[];;/enveloppe/plancher_haut;2
/enveloppe/baies;/enveloppe;object[];;/enveloppe/baie;2
/enveloppe/portes;/enveloppe;object[];;/enveloppe/porte;2
/enveloppe/ponts_thermiques;/enveloppe;object[];;/enveloppe/pont_thermique;2
/enveloppe/doubles_fenetres;/enveloppe;object[];;/enveloppe/double_fenetre;2
/enveloppe/masques;/enveloppe;object[];;/enveloppe/masque;2
/enveloppe/niveau/id;/enveloppe/niveau;string;;;3
/enveloppe/niveau/description;/enveloppe/niveau;string;;;3
/enveloppe/niveau/surface;/enveloppe/niveau;number;;;3
