domain;path;title;type;subschema;readonly
Diagnostic;/diagnostic;Diagnostic initial;object;;
Diagnostic;diagnostic/id;Identifiant;string;;true
Diagnostic;/diagnostic/date_visite;Date de visite du logement;string;;
Diagnostic;/diagnostic/date_etablissement;Date d'établissement;string;;
Diagnostic;/diagnostic/adresse;Adresse;object;/adresse;
Diagnostic;/diagnostic/batiment;Bâtiment;object;/batiment;
Diagnostic;/diagnostic/logements;Liste des logements visités;array;/logement;
Diagnostic;/diagnostic/enveloppe;Enveloppe;object;/enveloppe;
Diagnostic;/diagnostic/chauffage;Chauffage;object;/chauffage;
Diagnostic;/diagnostic/ecs;Eau chaude sanitaire;object;/ecs;
Diagnostic;/diagnostic/ventilation;Ventilation;object;/ventilation;
Diagnostic;/diagnostic/refroidissement;Refroidissement;object;/refroidissement;
Diagnostic;/diagnostic/production;Production;object;/production;
Diagnostic;/diagnostic/data;Données calculées;object;;
Diagnostic;/diagnostic/data/zone_climatique;Zone climatique;enum;;
Diagnostic;/diagnostic/data/effet_joule;Bâtiment chauffé par effet joule;boolean;;
Diagnostic;/diagnostic/data/parois_anciennes_lourdes;Bâtiment constitué de parois anciennes lourdes;boolean;;
Diagnostic;/diagnostic/data/surface_reference;Surface thermique de référence en m²;number;;
Diagnostic;/diagnostic/data/volume_reference;Volume thermique de référence en m³;number;;
Diagnostic;/diagnostic/data/bilan;Bilan;object;;
Diagnostic;/diagnostic/data/pertes;Pertes;object;/common/pertes;
Diagnostic;/diagnostic/data/consommations;Consommations;object;/common//consommations;
Diagnostic;/diagnostic/data/bilan/cef;Consommation d'énergie finale en kWh/m²/an;number;;
Diagnostic;/diagnostic/data/bilan/cep;Consommation d'énergie primaire en kWh/m²/an;number;;
Diagnostic;/diagnostic/data/bilan/eges;Émissions de gaz à effet de serre en kgCO2/m²/an;number;;
Diagnostic;/diagnostic/data/bilan/etiquette_energie;Etiquette énergie;enum;;
Diagnostic;/diagnostic/data/bilan/etiquette_climat;Etiquette climat;enum;;
Audit;/audit;Audit;object;;
Audit;/audit/id;Identifiant;string;;
Audit;/audit/diagnostic_id;Identifiant du diagnostic associé;string;;
Audit;/audit/date_visite;Date de visite du logement;string;;
Audit;/audit/date_etablissement;Date d'établissement;string;;
Audit;/audit/scenarios;Scénarios de travaux;array;/scenario;
Scénario;/scenario;Scénarios de travaux;object;;
Scénario;/scenario/id;Identifiant;string;;
Scénario;/scenario/categorie;Catégorie;enum;;
Scénario;/scenario/nom;Nom;string;;
Scénario;/scenario/description;Description;string;;
Scénario;/scenario/etapes;Étapes de travaux;array;;
Scénario;/scenario/enveloppe;Enveloppe;object;;
Scénario;/scenario/chauffage;Chauffage;object;;
Scénario;/scenario/ecs;Eau chaude sanitaire;object;;
Scénario;/scenario/ventilation;Ventilation;object;;
Scénario;/scenario/refroidissement;Refroidissement;object;;
Scénario;/scenario/production;Production;object;;
Scénario;/scenario/data;Données calculées;object;;
Scénario;/scenario/data/zone_climatique;Zone climatique;enum;;
Scénario;/scenario/data/effet_joule;Bâtiment chauffé par effet joule;boolean;;
