path;case;description
/batiment/type;maison;Maison individuelle
/batiment/type;immeuble;Immeuble collectif
/enveloppe/exposition;exposition_simple;Une façade exposée au vent
/enveloppe/exposition;exposition_multiple;Plusieurs façades exposées au vent
/logement/position;rdc;Rez de chaussée
/logement/position;etage_intermediaire;Etage intermédiaire
/logement/position;dernier_etage;Dernier étage
/logement/typologie;T1;T1
/logement/typologie;T2;T2
/logement/typologie;T3;T3
/logement/typologie;T4;T4
/logement/typologie;T5;T5
/logement/typologie;T6;T6
/logement/typologie;T7;T7
/chauffage/emetteur/temperature_distribution;basse;Basse température
/chauffage/emetteur/temperature_distribution;moyenne;Moyenne température
/chauffage/emetteur/temperature_distribution;haute;Haute température
/chauffage/emetteur/type;plancher_chauffant;Plancher chauffant
/chauffage/emetteur/type;plafond_chauffant;Plafond chauffant
/chauffage/emetteur/type;radiateur_monotube;Radiateur monotube
/chauffage/emetteur/type;radiateur_bitube;Radiateur bitube
/chauffage/emetteur/type;radiateur;Radiateur
/chauffage/generateur/bienergie;electricite;Electricité
/chauffage/generateur/bienergie;gaz_naturel;Gaz naturel
/chauffage/generateur/bienergie;gpl;GPL
/chauffage/generateur/bienergie;fioul;Fioul
/chauffage/generateur/bienergie;charbon;Charbon
/chauffage/generateur/bienergie;bois_buche;Bois bûche
/chauffage/generateur/bienergie;bois_plaquette;Bois plaquette
/chauffage/generateur/bienergie;bois_granule;Bois granule
/chauffage/generateur/energie;electricite;Electricité
/chauffage/generateur/energie;gaz_naturel;Gaz naturel
/chauffage/generateur/energie;gpl;GPL
/chauffage/generateur/energie;fioul;Fioul
/chauffage/generateur/energie;charbon;Charbon
/chauffage/generateur/energie;bois_buche;Bois bûche
/chauffage/generateur/energie;bois_plaquette;Bois plaquette
/chauffage/generateur/energie;bois_granule;Bois granule
/chauffage/generateur/energie;reseau_chaleur;Réseau de chaleur
/chauffage/generateur/type;chaudiere;Chaudière
/chauffage/generateur/type;convecteur_bi_jonction;Convecteur bi-jonction
/chauffage/generateur/type;convecteur_electrique;Convecteur électrique
/chauffage/generateur/type;panneau_rayonnant_electrique;Panneau rayonnant électrique
/chauffage/generateur/type;plafond_rayonnant_electrique;Plafond rayonnant électrique
/chauffage/generateur/type;plancher_rayonnant_electrique;Plancher rayonnant électrique
/chauffage/generateur/type;radiateur_electrique;Radiateur électrique
/chauffage/generateur/type;radiateur_electrique_accumulation;Radiateur électrique à accumulation
/chauffage/generateur/type;generateur_air_chaud;Générateur d'air chaud
/chauffage/generateur/type;pac_air_air;Pompe à chaleur air / air
/chauffage/generateur/type;pac_air_eau;Pompe à chaleur air / eau
/chauffage/generateur/type;pac_eau_eau;Pompe à chaleur eau / eau
/chauffage/generateur/type;pac_eau_glycolee_eau;Pompe à chaleur eau glycolée / eau
/chauffage/generateur/type;pac_geothermique;Pompe à chaleur géothermique
/chauffage/generateur/type;cuisiniere;Cuisinière
/chauffage/generateur/type;foyer_ferme;Foyer fermé
/chauffage/generateur/type;insert;Insert
/chauffage/generateur/type;poele;Poêle
/chauffage/generateur/type;poele_bouilleur;Poêle boulleur
/chauffage/generateur/type;radiateur_gaz;Radiateur gaz
/chauffage/generateur/type;reseau_chaleur;Réseau de chaleur
/chauffage/systeme/type;chauffage_central;Système de chauffage central
/chauffage/systeme/type;chauffage_divise;Système de chauffage divisé
/ecs/generateur/energie;electricite;Electricité
/ecs/generateur/energie;gaz_naturel;Gaz naturel
/ecs/generateur/energie;gpl;GPL
/ecs/generateur/energie;fioul;Fioul
/ecs/generateur/energie;charbon;Charbon
/ecs/generateur/energie;bois_buche;Bois bûche
/ecs/generateur/energie;bois_plaquette;Bois plaquette
/ecs/generateur/energie;bois_granule;Bois granule
