xml.source;xml.value;json.source;json.value
logement/meteo/enum_classe_altitude_id;1;/batiment/altitude;200
logement/meteo/enum_classe_altitude_id;2;/batiment/altitude;600
logement/meteo/enum_classe_altitude_id;3;/batiment/altitude;1000
logement/caracteristique_generale/enum_methode_application_dpe_log_id;1;/batiment/type;maison
logement/caracteristique_generale/enum_methode_application_dpe_log_id;2;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;3;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;4;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;5;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;6;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;7;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;8;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;9;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;10;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;11;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;12;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;13;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;14;/batiment/type;maison
logement/caracteristique_generale/enum_methode_application_dpe_log_id;15;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;16;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;17;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;18;/batiment/type;maison
logement/caracteristique_generale/enum_methode_application_dpe_log_id;19;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;20;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;21;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;22;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;23;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;24;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;25;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;26;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;27;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;28;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;29;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;30;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;31;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;32;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;33;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;34;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;35;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;36;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;37;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;38;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;39;/batiment/type;immeuble
logement/caracteristique_generale/enum_methode_application_dpe_log_id;40;/batiment/type;immeuble
logement/caracteristique_generale/enum_periode_construction_id;1;/batiment/annee_construction;1947
logement/caracteristique_generale/enum_periode_construction_id;2;/batiment/annee_construction;1974
logement/caracteristique_generale/enum_periode_construction_id;3;/batiment/annee_construction;1977
logement/caracteristique_generale/enum_periode_construction_id;4;/batiment/annee_construction;1982
logement/caracteristique_generale/enum_periode_construction_id;5;/batiment/annee_construction;1988
logement/caracteristique_generale/enum_periode_construction_id;6;/batiment/annee_construction;2000
logement/caracteristique_generale/enum_periode_construction_id;7;/batiment/annee_construction;2005
logement/caracteristique_generale/enum_periode_construction_id;8;/batiment/annee_construction;2012
logement/caracteristique_generale/enum_periode_construction_id;9;/batiment/annee_construction;2021
logement/caracteristique_generale/enum_periode_construction_id;10;/batiment/annee_construction;date_etablissement
