xml.source;xml.value;xml.lib;json.source;json.value;commentaire
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_periode_installation_emetteur_id;1;Avant 1981;/chauffage/emetteur/annee_installation;1980;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_periode_installation_emetteur_id;2;Entre 1981 et 2000;/chauffage/emetteur/annee_installation;2000;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_periode_installation_emetteur_id;3;Apres 2000;/chauffage/emetteur/annee_installation;annee_etablissement;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;1;Convecteur electrique NFC, NF** et NF***;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;2;Panneau rayonnant NFC, NF** et NF***;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;3;radiateur electrique NFC, NF** et NF***;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;4;Autres emetteurs à effet joule;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;5;Soufflage d'air chaud (air souffle) avec distribution par reseau aeraulique;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;6;Plafond rayonnant electrique avec regulation terminale;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;7;Plafond rayonnant electrique sans regulation;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;8;Plancher rayonnant electrique avec regulation terminale;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;9;Plancher rayonnant electrique sans regulation;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;10;Radiateur electrique à accumulation;/chauffage/emetteur/type;;
