xml.source;xml.value;json.path;json.value
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/enum_inclinaison_pv_id;1;/production/panneau_photovoltaique/inclinaison;10
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/enum_inclinaison_pv_id;2;/production/panneau_photovoltaique/inclinaison;30
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/enum_inclinaison_pv_id;3;/production/panneau_photovoltaique/inclinaison;60
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/enum_inclinaison_pv_id;4;/production/panneau_photovoltaique/inclinaison;80
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/enum_orientation_pv_id;1;/production/panneau_photovoltaique/orientation;90
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/enum_orientation_pv_id;2;/production/panneau_photovoltaique/orientation;135
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/enum_orientation_pv_id;3;/production/panneau_photovoltaique/orientation;180
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/enum_orientation_pv_id;4;/production/panneau_photovoltaique/orientation;225
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/enum_orientation_pv_id;5;/production/panneau_photovoltaique/orientation;270
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;1;/production/panneau_photovoltaique/inclinaison;10
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;2;/production/panneau_photovoltaique/inclinaison;10
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;3;/production/panneau_photovoltaique/inclinaison;10
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;4;/production/panneau_photovoltaique/inclinaison;10
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;5;/production/panneau_photovoltaique/inclinaison;10
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;6;/production/panneau_photovoltaique/inclinaison;30
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;7;/production/panneau_photovoltaique/inclinaison;30
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;8;/production/panneau_photovoltaique/inclinaison;30
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;9;/production/panneau_photovoltaique/inclinaison;30
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;10;/production/panneau_photovoltaique/inclinaison;30
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;11;/production/panneau_photovoltaique/inclinaison;60
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;12;/production/panneau_photovoltaique/inclinaison;60
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;13;/production/panneau_photovoltaique/inclinaison;60
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;14;/production/panneau_photovoltaique/inclinaison;60
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;15;/production/panneau_photovoltaique/inclinaison;60
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;16;/production/panneau_photovoltaique/inclinaison;80
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;17;/production/panneau_photovoltaique/inclinaison;80
logement/production_elec_enr/panneaux_pv_collection/panneaux_pv/tv_coef_orientation_pv_id;18;/production/panneau_photovoltaique/inclinaison;80
