xml.source;xml.value;json.path;json.value
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;1;/refroidissement/generateur/annee_installation;2007
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;2;/refroidissement/generateur/annee_installation;2014
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;3;/refroidissement/generateur/annee_installation;annee_etablissement
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;4;/refroidissement/generateur/annee_installation;2007
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;5;/refroidissement/generateur/annee_installation;2014
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;6;/refroidissement/generateur/annee_installation;2016
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;7;/refroidissement/generateur/annee_installation;annee_etablissement
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;8;/refroidissement/generateur/annee_installation;2007
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;9;/refroidissement/generateur/annee_installation;2014
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;10;/refroidissement/generateur/annee_installation;2016
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;11;/refroidissement/generateur/annee_installation;annee_etablissement
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;12;/refroidissement/generateur/annee_installation;2007
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;13;/refroidissement/generateur/annee_installation;2014
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;14;/refroidissement/generateur/annee_installation;2016
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;15;/refroidissement/generateur/annee_installation;annee_etablissement
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;16;/refroidissement/generateur/annee_installation;2007
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;17;/refroidissement/generateur/annee_installation;2014
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;18;/refroidissement/generateur/annee_installation;2016
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;19;/refroidissement/generateur/annee_installation;annee_etablissement
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;1;/refroidissement/generateur/type;pac_air_air
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;2;/refroidissement/generateur/type;pac_air_air
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;3;/refroidissement/generateur/type;pac_air_air
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;4;/refroidissement/generateur/type;pac_air_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;5;/refroidissement/generateur/type;pac_air_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;6;/refroidissement/generateur/type;pac_air_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;7;/refroidissement/generateur/type;pac_air_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;8;/refroidissement/generateur/type;pac_eau_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;9;/refroidissement/generateur/type;pac_eau_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;10;/refroidissement/generateur/type;pac_eau_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;11;/refroidissement/generateur/type;pac_eau_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;12;/refroidissement/generateur/type;pac_eau_glycolee_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;13;/refroidissement/generateur/type;pac_eau_glycolee_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;14;/refroidissement/generateur/type;pac_eau_glycolee_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;15;/refroidissement/generateur/type;pac_eau_glycolee_eau
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;16;/refroidissement/generateur/type;pac_geothermique
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;17;/refroidissement/generateur/type;pac_geothermique
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;18;/refroidissement/generateur/type;pac_geothermique
logement/climatisation_collection/climatisation/donnee_entree/enum_type_generateur_fr_id;19;/refroidissement/generateur/type;pac_geothermique
