xml.source;xml.value;json.source;json.value
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;1;/enveloppe/baie/position/mitoyennete;exterieur
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;2;/enveloppe/baie/position/mitoyennete;enterre
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;3;/enveloppe/baie/position/mitoyennete;vide_sanitaire
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;4;/enveloppe/baie/position/mitoyennete;local_non_residentiel
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;5;/enveloppe/baie/position/mitoyennete;enterre
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;6;/enveloppe/baie/position/mitoyennete;sous_sol_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;7;/enveloppe/baie/position/mitoyennete;local_non_accessible
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;8;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;9;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;10;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;11;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;12;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;13;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;14;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;15;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;16;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;17;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;18;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;19;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;20;/enveloppe/baie/position/mitoyennete;local_non_residentiel
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;21;/enveloppe/baie/position/mitoyennete;local_non_chauffe
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;22;/enveloppe/baie/position/mitoyennete;local_residentiel
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;1;/enveloppe/baie/type;brique_verre_pleine
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;2;/enveloppe/baie/type;brique_verre_creuse
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;3;/enveloppe/baie/type;polycarbonate
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;4;/enveloppe/baie/type;fenetre_battante
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;5;/enveloppe/baie/type;fenetre_coulissante
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;6;/enveloppe/baie/type;porte_fenetre_coulissante
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;7;/enveloppe/baie/type;porte_fenetre_battante
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;7;/enveloppe/baie/position/presence_soubassement;false
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;8;/enveloppe/baie/type;porte_fenetre_battante
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_baie_id;8;/enveloppe/baie/position/presence_soubassement;true
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;1;/enveloppe/baie/type_fermeture;sans_fermeture
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;2;/enveloppe/baie/type_fermeture;jalousie_accordeon
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;2;/enveloppe/baie/type_fermeture;venitiens_exterieurs_metal
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;2;/enveloppe/baie/type_fermeture;volet_battant_avec_ajours_fixes
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;2;/enveloppe/baie/type_fermeture;persiennes_avec_ajours_fixes
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;3;/enveloppe/baie/type_fermeture;fermeture_lames_orientables
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;3;/enveloppe/baie/type_fermeture;fermeture_sans_ajours
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;3;/enveloppe/baie/type_fermeture;volets_roulants_aluminium
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;4;/enveloppe/baie/type_fermeture;volets_roulants_pvc_bois_epaisseur_lte_12mm
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_fermeture_id;5;/enveloppe/baie/type_fermeture;persienne_coulissante_epaisseur_lte_22mm
