xml.source;xml.value;json.schema;json.value;commentaire
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;8;/enveloppe/local_non_chauffe/type;garage;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;9;/enveloppe/local_non_chauffe/type;cellier;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;11;/enveloppe/local_non_chauffe/type;comble_fortement_ventile;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;12;/enveloppe/local_non_chauffe/type;comble_faiblement_ventile;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;13;/enveloppe/local_non_chauffe/type;comble_tres_faiblement_ventile;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;14;/enveloppe/local_non_chauffe/type;circulation_sans_ouverture_exterieure;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;15;/enveloppe/local_non_chauffe/type;circulation_avec_ouverture_exterieure;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;16;/enveloppe/local_non_chauffe/type;circulation_avec_bouche_ou_gaine_desenfumage_ouverte;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;17;/enveloppe/local_non_chauffe/type;hall_entree_avec_fermeture_automatique;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;18;/enveloppe/local_non_chauffe/type;hall_entree_sans_fermeture_automatique;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;19;/enveloppe/local_non_chauffe/type;garage_collectif;
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/enum_type_adjacence_id;21;/enveloppe/local_non_chauffe/type;autres;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;8;/enveloppe/local_non_chauffe/type;garage;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;9;/enveloppe/local_non_chauffe/type;cellier;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;11;/enveloppe/local_non_chauffe/type;comble_fortement_ventile;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;12;/enveloppe/local_non_chauffe/type;comble_faiblement_ventile;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;13;/enveloppe/local_non_chauffe/type;comble_tres_faiblement_ventile;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;14;/enveloppe/local_non_chauffe/type;circulation_sans_ouverture_exterieure;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;15;/enveloppe/local_non_chauffe/type;circulation_avec_ouverture_exterieure;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;16;/enveloppe/local_non_chauffe/type;circulation_avec_bouche_ou_gaine_desenfumage_ouverte;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;17;/enveloppe/local_non_chauffe/type;hall_entree_avec_fermeture_automatique;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;18;/enveloppe/local_non_chauffe/type;hall_entree_sans_fermeture_automatique;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;19;/enveloppe/local_non_chauffe/type;garage_collectif;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;21;/enveloppe/local_non_chauffe/type;autres;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;8;/enveloppe/local_non_chauffe/type;garage;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;9;/enveloppe/local_non_chauffe/type;cellier;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;11;/enveloppe/local_non_chauffe/type;comble_fortement_ventile;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;12;/enveloppe/local_non_chauffe/type;comble_faiblement_ventile;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;13;/enveloppe/local_non_chauffe/type;comble_tres_faiblement_ventile;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;14;/enveloppe/local_non_chauffe/type;circulation_sans_ouverture_exterieure;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;15;/enveloppe/local_non_chauffe/type;circulation_avec_ouverture_exterieure;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;16;/enveloppe/local_non_chauffe/type;circulation_avec_bouche_ou_gaine_desenfumage_ouverte;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;17;/enveloppe/local_non_chauffe/type;hall_entree_avec_fermeture_automatique;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;18;/enveloppe/local_non_chauffe/type;hall_entree_sans_fermeture_automatique;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;19;/enveloppe/local_non_chauffe/type;garage_collectif;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;21;/enveloppe/local_non_chauffe/type;autres;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;8;/enveloppe/local_non_chauffe/type;garage;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;9;/enveloppe/local_non_chauffe/type;cellier;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;11;/enveloppe/local_non_chauffe/type;comble_fortement_ventile;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;12;/enveloppe/local_non_chauffe/type;comble_faiblement_ventile;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;13;/enveloppe/local_non_chauffe/type;comble_tres_faiblement_ventile;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;14;/enveloppe/local_non_chauffe/type;circulation_sans_ouverture_exterieure;
