xml.source;xml.value;json.path;json.value
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;1;/enveloppe/masque/hauteur;7.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;2;/enveloppe/masque/hauteur;22.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;3;/enveloppe/masque/hauteur;45
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;4;/enveloppe/masque/hauteur;60
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;5;/enveloppe/masque/hauteur;7.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;6;/enveloppe/masque/hauteur;22.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;7;/enveloppe/masque/hauteur;45
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;8;/enveloppe/masque/hauteur;60
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;9;/enveloppe/masque/hauteur;7.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;10;/enveloppe/masque/hauteur;22.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;11;/enveloppe/masque/hauteur;45
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_lointain_homogene_id;12;/enveloppe/masque/hauteur;60
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;1;/enveloppe/masque/profondeur;0.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;2;/enveloppe/masque/profondeur;1.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;3;/enveloppe/masque/profondeur;2.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;4;/enveloppe/masque/profondeur;3.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;5;/enveloppe/masque/profondeur;0.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;6;/enveloppe/masque/profondeur;1.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;7;/enveloppe/masque/profondeur;2.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;8;/enveloppe/masque/profondeur;3.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;9;/enveloppe/masque/profondeur;0.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;10;/enveloppe/masque/profondeur;1.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;11;/enveloppe/masque/profondeur;2.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;12;/enveloppe/masque/profondeur;3.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;13;/enveloppe/masque/profondeur;0.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;14;/enveloppe/masque/profondeur;1.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;15;/enveloppe/masque/profondeur;2.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;16;/enveloppe/masque/profondeur;3.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;1;/enveloppe/masque/hauteur;7.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;2;/enveloppe/masque/hauteur;22.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;3;/enveloppe/masque/hauteur;45
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;4;/enveloppe/masque/hauteur;60
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;5;/enveloppe/masque/hauteur;7.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;6;/enveloppe/masque/hauteur;22.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;7;/enveloppe/masque/hauteur;45
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;8;/enveloppe/masque/hauteur;60
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;9;/enveloppe/masque/hauteur;7.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;10;/enveloppe/masque/hauteur;22.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;11;/enveloppe/masque/hauteur;45
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;12;/enveloppe/masque/hauteur;60
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;13;/enveloppe/masque/hauteur;7.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;14;/enveloppe/masque/hauteur;22.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;15;/enveloppe/masque/hauteur;45
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;16;/enveloppe/masque/hauteur;60
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;17;/enveloppe/masque/hauteur;7.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;18;/enveloppe/masque/hauteur;22.5
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;19;/enveloppe/masque/hauteur;45
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;20;/enveloppe/masque/hauteur;60
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;1;/enveloppe/masque/orientation;0
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;2;/enveloppe/masque/orientation;0
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;3;/enveloppe/masque/orientation;0
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;4;/enveloppe/masque/orientation;0
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;5;/enveloppe/masque/orientation;0
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;6;/enveloppe/masque/orientation;0
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;7;/enveloppe/masque/orientation;0
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;8;/enveloppe/masque/orientation;0
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;9;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;10;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;11;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;12;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;13;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;14;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;15;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;16;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;17;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;18;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;19;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/masque_lointain_non_homogene_collection/masque_lointain_non_homogene/tv_coef_masque_lointain_non_homogene_id;20;/enveloppe/masque/orientation;90
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;1;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;2;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;3;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;4;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;5;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;6;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;7;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;8;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;9;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;10;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;11;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;12;/enveloppe/masque/configuration;fond_balcon_ou_fond_et_flanc_loggias
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;13;/enveloppe/masque/configuration;balcon_ou_auvent
logement/enveloppe/baie_vitree_collection/baie_vitree/donnee_entree/tv_coef_masque_proche_id;14;/enveloppe/masque/configuration;balcon_ou_auvent
