xml.source;xml.value;json.path;json.value
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;1;/enveloppe/mur/isolation/etat;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;2;/enveloppe/mur/isolation/etat;non_isole
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;3;/enveloppe/mur/isolation/etat;isole
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;4;/enveloppe/mur/isolation/etat;isole
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;5;/enveloppe/mur/isolation/etat;isole
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;6;/enveloppe/mur/isolation/etat;isole
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;7;/enveloppe/mur/isolation/etat;isole
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;8;/enveloppe/mur/isolation/etat;isole
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;9;/enveloppe/mur/isolation/etat;isole
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;1;/enveloppe/mur/isolation/type;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;2;/enveloppe/mur/isolation/type;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;3;/enveloppe/mur/isolation/type;iti
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;4;/enveloppe/mur/isolation/type;ite
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;5;/enveloppe/mur/isolation/type;itr
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;6;/enveloppe/mur/isolation/type;iti_ite
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;7;/enveloppe/mur/isolation/type;itr_iti
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;8;/enveloppe/mur/isolation/type;
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_isolation_id;9;/enveloppe/mur/isolation/type;inconnu
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;1;/enveloppe/mur/position/mitoyennete;exterieur
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;2;/enveloppe/mur/position/mitoyennete;enterre
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;3;/enveloppe/mur/position/mitoyennete;vide_sanitaire
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;4;/enveloppe/mur/position/mitoyennete;local_non_residentiel
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;5;/enveloppe/mur/position/mitoyennete;enterre
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;6;/enveloppe/mur/position/mitoyennete;sous_sol_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;7;/enveloppe/mur/position/mitoyennete;local_non_accessible
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;8;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;9;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;10;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;11;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;12;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;13;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;14;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;15;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;16;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;17;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;18;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;19;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;20;/enveloppe/mur/position/mitoyennete;local_non_residentiel
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;21;/enveloppe/mur/position/mitoyennete;local_non_chauffe
logement/enveloppe/mur_collection/mur/donnee_entree/enum_type_adjacence_id;22;/enveloppe/mur/position/mitoyennete;local_residentiel
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;1;/enveloppe/mur/type_structure;inconnu
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;2;/enveloppe/mur/type_structure;pierre_moellons
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;3;/enveloppe/mur/type_structure;pierre_moellons_avec_remplissage
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;4;/enveloppe/mur/type_structure;pise_ou_beton_terre
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;5;/enveloppe/mur/type_structure;pan_bois_sans_remplissage
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;6;/enveloppe/mur/type_structure;pan_bois_avec_remplissage
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;7;/enveloppe/mur/type_structure;bois_rondin
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;8;/enveloppe/mur/type_structure;brique_pleine_simple
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;9;/enveloppe/mur/type_structure;brique_pleine_double_avec_lame_air
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;10;/enveloppe/mur/type_structure;brique_creuse
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;11;/enveloppe/mur/type_structure;bloc_beton_plein
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;12;/enveloppe/mur/type_structure;bloc_beton_creux
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;13;/enveloppe/mur/type_structure;beton_banche
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;14;/enveloppe/mur/type_structure;beton_machefer
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;15;/enveloppe/mur/type_structure;brique_terre_cuite_alveolaire
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;16;/enveloppe/mur/type_structure;beton_cellulaire
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;17;/enveloppe/mur/type_structure;beton_cellulaire
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;18;/enveloppe/mur/type_structure;ossature_bois_avec_remplissage_isolant
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;19;/enveloppe/mur/type_structure;sandwich_beton_isolant_beton_sans_isolation_rapportee
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;20;/enveloppe/mur/type_structure;cloison_platre
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;21;/enveloppe/mur/type_structure;inconnu
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;22;/enveloppe/mur/type_structure;inconnu
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;23;/enveloppe/mur/type_structure;inconnu
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;24;/enveloppe/mur/type_structure;ossature_bois_avec_remplissage_isolant
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;25;/enveloppe/mur/type_structure;ossature_bois_sans_remplissage
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;26;/enveloppe/mur/type_structure;ossature_bois_avec_remplissage_isolant
logement/enveloppe/mur_collection/mur/donnee_entree/enum_materiaux_structure_mur_id;27;/enveloppe/mur/type_structure;ossature_bois_avec_remplissage_tout_venant
