xml.source;xml.value;json.path;json.value
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;1;/enveloppe/plancher_haut/isolation/etat;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;2;/enveloppe/plancher_haut/isolation/etat;non_isole
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;3;/enveloppe/plancher_haut/isolation/etat;isole
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;4;/enveloppe/plancher_haut/isolation/etat;isole
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;5;/enveloppe/plancher_haut/isolation/etat;isole
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;6;/enveloppe/plancher_haut/isolation/etat;isole
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;7;/enveloppe/plancher_haut/isolation/etat;isole
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;8;/enveloppe/plancher_haut/isolation/etat;isole
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;9;/enveloppe/plancher_haut/isolation/etat;isole
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;1;/enveloppe/plancher_haut/isolation/type;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;2;/enveloppe/plancher_haut/isolation/type;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;3;/enveloppe/plancher_haut/isolation/type;iti
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;4;/enveloppe/plancher_haut/isolation/type;ite
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;5;/enveloppe/plancher_haut/isolation/type;itr
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;6;/enveloppe/plancher_haut/isolation/type;iti_ite
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;7;/enveloppe/plancher_haut/isolation/type;itr_iti
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;8;/enveloppe/plancher_haut/isolation/type;itr_ite
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_isolation_id;9;/enveloppe/plancher_haut/isolation/type;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;1;/enveloppe/plancher_haut/type_structure;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;2;/enveloppe/plancher_haut/type_structure;plafond_avec_ou_sans_remplissage
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;3;/enveloppe/plancher_haut/type_structure;plafond_entre_solives_metalliques
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;4;/enveloppe/plancher_haut/type_structure;plafond_entre_solives_bois
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;5;/enveloppe/plancher_haut/type_structure;plafond_bois_sur_solives_metalliques
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;6;/enveloppe/plancher_haut/type_structure;plafond_bois_sous_solives_metalliques
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;7;/enveloppe/plancher_haut/type_structure;bardeaux_et_remplissage
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;9;/enveloppe/plancher_haut/type_structure;plafond_bois_sur_solives_bois
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;10;/enveloppe/plancher_haut/type_structure;plafond_bois_sous_solives_bois
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;8;/enveloppe/plancher_haut/type_structure;dalle_beton
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;11;/enveloppe/plancher_haut/type_structure;plafond_lourd
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;12;/enveloppe/plancher_haut/type_structure;combles_amenages_sous_rampant
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;13;/enveloppe/plancher_haut/type_structure;toiture_chaume
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;14;/enveloppe/plancher_haut/type_structure;plafond_patre
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;16;/enveloppe/plancher_haut/type_structure;bac_acier
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_plancher_haut_id;15;/enveloppe/plancher_haut/type_structure;
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;1;/enveloppe/plancher_haut/position/mitoyennete;exterieur
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;2;/enveloppe/plancher_haut/position/mitoyennete;enterre
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;3;/enveloppe/plancher_haut/position/mitoyennete;vide_sanitaire
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;4;/enveloppe/plancher_haut/position/mitoyennete;local_non_residentiel
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;5;/enveloppe/plancher_haut/position/mitoyennete;enterre
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;6;/enveloppe/plancher_haut/position/mitoyennete;sous_sol_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;7;/enveloppe/plancher_haut/position/mitoyennete;local_non_accessible
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;8;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;9;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;10;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;11;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;12;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;13;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;14;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;15;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;16;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;17;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;18;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;19;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;20;/enveloppe/plancher_haut/position/mitoyennete;local_non_residentiel
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;21;/enveloppe/plancher_haut/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_haut_collection/plancher_haut/donnee_entree/enum_type_adjacence_id;22;/enveloppe/plancher_haut/position/mitoyennete;local_residentiel
