xml.source;xml.value;json.path;json.value
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;1;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;2;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;3;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;4;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;5;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;6;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;7;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;8;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;9;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;10;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;11;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;12;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;13;/enveloppe/porte/isolation;isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;14;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;15;/enveloppe/porte/isolation;isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;16;/enveloppe/porte/isolation;non_isole
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;1;/enveloppe/porte/materiau;bois
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;2;/enveloppe/porte/materiau;bois
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;3;/enveloppe/porte/materiau;bois
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;4;/enveloppe/porte/materiau;bois
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;5;/enveloppe/porte/materiau;pvc
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;6;/enveloppe/porte/materiau;pvc
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;7;/enveloppe/porte/materiau;pvc
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;8;/enveloppe/porte/materiau;pvc
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;9;/enveloppe/porte/materiau;metal
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;10;/enveloppe/porte/materiau;metal
logement/enveloppe/porte_collection/porte/donnee_entree/enum_type_porte_id;11;/enveloppe/porte/materiau;metal
